"latitude","longitude","room_type","price","guests_included","minimum_nights","review_scores_rating","cancellation_policy","host_is_superhost","number_of_reviews","number_of_reviews_ltm","bathrooms","bedrooms","beds","bed_type","has_reviews"
30.20781,-97.79656,"Private room",250,1,1,100,"moderate","f",1,0,2,2,2,"Real Bed",TRUE
30.22204,-97.85584,"Private room",350,1,1,96.176,"flexible","f",0,0,1,1,1,"Real Bed",FALSE
30.25041,-97.74508,"Entire home/apt",315,1,3,96.176,"strict_14_with_grace_period","f",0,0,1,1,1,"Real Bed",FALSE
30.25268,-97.71667,"Private room",200,1,1,96.176,"strict_14_with_grace_period","f",0,0,1,1,1,"Real Bed",FALSE
30.35823,-97.72767,"Entire home/apt",99,1,2,100,"moderate","t",41,12,1,2,2,"Real Bed",TRUE
30.26157,-97.73319,"Entire home/apt",100,1,1,96,"strict_14_with_grace_period","t",200,56,1,1,2,"Real Bed",TRUE
30.40307,-97.76719,"Entire home/apt",224,8,2,96,"moderate","f",161,47,3,4,4,"Real Bed",TRUE
30.23837,-97.78427,"Entire home/apt",117,1,3,98,"moderate","f",38,19,1.5,2,2,"Real Bed",TRUE
30.26547,-97.7409,"Entire home/apt",185,4,1,95,"strict_14_with_grace_period","t",130,27,1,2,3,"Real Bed",TRUE
30.44051,-97.78001,"Entire home/apt",97,4,3,98,"flexible","f",13,0,2,2,3,"Real Bed",TRUE
30.19663,-97.85905,"Private room",39,1,2,98,"moderate","t",138,52,1,2,2,"Real Bed",TRUE
30.29416,-97.71756,"Entire home/apt",125,2,1,96,"flexible","f",6,0,1,1,1,"Real Bed",TRUE
30.29,-97.74615,"Private room",150,1,3,96.176,"flexible","f",0,0,0.5,1,1,"Real Bed",FALSE
30.2905,-97.74665,"Entire home/apt",350,1,3,100,"moderate","f",1,0,3,4,4,"Real Bed",TRUE
30.34292,-97.77036,"Entire home/apt",90,3,1,96.176,"flexible","f",0,0,1,1,1,"Real Bed",FALSE
30.43543,-97.87276,"Private room",120,2,1,95,"moderate","t",8,3,1.5,1,1,"Real Bed",TRUE
30.19913,-97.77709,"Entire home/apt",271,1,2,100,"strict_14_with_grace_period","f",2,0,1.5,2,2,"Real Bed",TRUE
30.28398,-97.70443,"Shared room",120,2,1,96.176,"flexible","f",0,0,0,1,1,"Airbed",FALSE
30.45574,-97.80582,"Private room",70,1,1,96.176,"flexible","f",0,0,1,1,1,"Real Bed",FALSE
30.29907,-97.70156,"Entire home/apt",290,1,1,98,"moderate","f",18,0,2.5,3,3,"Real Bed",TRUE
30.25502,-97.71559,"Entire home/apt",185,1,2,90,"moderate","f",2,0,1,2,2,"Real Bed",TRUE
30.27711,-97.71882,"Entire home/apt",100,2,2,98,"strict_14_with_grace_period","t",108,34,1,1,1,"Real Bed",TRUE
30.23594,-97.89593,"Private room",50,1,3,96,"flexible","f",9,2,1,1,1,"Real Bed",TRUE
30.24406,-97.78207,"Private room",108,2,2,96.176,"flexible","f",0,0,1,1,1,"Real Bed",FALSE
30.34562,-97.75243,"Private room",30,2,5,81,"strict_14_with_grace_period","f",34,0,1,1,1,"Real Bed",TRUE
30.32836,-97.73654,"Entire home/apt",85,2,2,100,"moderate","t",33,33,1,1,1,"Real Bed",TRUE
30.27823,-97.71795,"Entire home/apt",116,3,2,99,"flexible","t",183,68,1,1,2,"Real Bed",TRUE
30.23892,-97.75605,"Entire home/apt",500,1,3,93,"moderate","f",12,0,3,3,3,"Real Bed",TRUE
30.25598,-97.75655,"Entire home/apt",163,4,2,93,"moderate","f",54,21,1,2,2,"Real Bed",TRUE
30.24888,-97.73892,"Entire home/apt",200,1,1,96.176,"flexible","f",0,0,1,2,2,"Real Bed",FALSE
30.27534,-97.70688,"Entire home/apt",252,4,3,98,"strict_14_with_grace_period","t",108,28,2.5,3,4,"Real Bed",TRUE
30.21609,-97.83273,"Private room",26,1,1,96.176,"flexible","f",1,1,1,1,1,"Real Bed",FALSE
30.26751,-97.72184,"Entire home/apt",300,1,3,100,"moderate","f",3,0,1,2,2,"Real Bed",TRUE
30.28396,-97.74448,"Private room",45,1,1,80,"flexible","f",1,0,1,1,1,"Real Bed",TRUE
30.27907,-97.72099,"Private room",49,1,1,100,"strict_14_with_grace_period","f",4,0,1,1,2,"Real Bed",TRUE
30.29098,-98.05355,"Entire home/apt",225,4,2,100,"strict_14_with_grace_period","t",69,23,2,2,4,"Real Bed",TRUE
30.35766,-97.7955,"Entire home/apt",300,1,1,96.176,"flexible","f",0,0,2,2,2,"Real Bed",FALSE
30.33318,-97.79963,"Private room",90,1,1,100,"flexible","f",4,0,1,1,2,"Real Bed",TRUE
30.30406,-97.72475,"Private room",49,1,1,95,"flexible","f",4,0,1,1,1,"Real Bed",TRUE
30.29035,-97.72184,"Entire home/apt",90,1,7,96.176,"flexible","f",0,0,1,2,2,"Real Bed",FALSE
30.26551,-97.74125,"Entire home/apt",135,4,1,93,"moderate","t",238,48,1,1,3,"Real Bed",TRUE
30.26751,-97.74444,"Entire home/apt",160,2,1,96,"moderate","f",228,55,1,1,3,"Real Bed",TRUE
30.24927,-97.72315,"Entire home/apt",150,4,5,89,"strict_14_with_grace_period","f",42,11,1.5,1,3,"Real Bed",TRUE
30.37941,-97.97685,"Entire home/apt",400,1,3,100,"strict_14_with_grace_period","t",5,0,3.5,5,7,"Real Bed",TRUE
30.29997,-97.70606,"Shared room",125,1,1,96.176,"flexible","f",0,0,1,1,1,"Airbed",FALSE
30.29908,-97.70872,"Entire home/apt",100,1,1,100,"flexible","f",4,0,1,0,1,"Real Bed",TRUE
30.24498,-97.73328,"Entire home/apt",275,5,2,96.176,"strict_14_with_grace_period","f",0,0,1,2,3,"Real Bed",FALSE
30.45939,-97.75716,"Shared room",150,1,1,100,"flexible","f",1,0,1.5,1,2,"Airbed",TRUE
30.28319,-97.76155,"Entire home/apt",125,2,2,99,"flexible","f",14,2,1,1,1,"Real Bed",TRUE
30.3155,-97.69415,"Private room",32,1,1,100,"flexible","t",4,4,1,1,1,"Futon",TRUE
30.29717,-97.73303,"Private room",40,2,4,94,"strict_14_with_grace_period","f",14,3,1,1,1,"Real Bed",TRUE
30.25824,-97.73974,"Entire home/apt",200,1,7,96.176,"moderate","f",0,0,2,2,2,"Real Bed",FALSE
30.31195,-97.73369,"Private room",75,1,1,100,"flexible","f",1,0,1,1,1,"Futon",TRUE
30.2921,-97.69984,"Entire home/apt",169,1,1,98,"moderate","t",73,28,1,2,3,"Real Bed",TRUE
30.30165,-97.67102,"Private room",48,1,1,99,"strict_14_with_grace_period","f",133,47,1,1,1,"Real Bed",TRUE
30.19121,-97.84302,"Private room",69,1,1,100,"strict_14_with_grace_period","t",37,17,1,1,1,"Real Bed",TRUE
30.34436,-97.71846,"Entire home/apt",142,1,3,99,"strict_14_with_grace_period","f",47,0,2.5,3,3,"Real Bed",TRUE
30.23985,-97.74055,"Entire home/apt",135,1,2,99,"strict_14_with_grace_period","f",22,0,1,1,1,"Real Bed",TRUE
30.24461,-97.72778,"Private room",82,2,2,96,"flexible","t",5,1,2,2,2,"Real Bed",TRUE
30.27381,-97.70597,"Entire home/apt",250,2,1,100,"flexible","t",16,2,2.5,3,3,"Real Bed",TRUE
30.30769,-97.67201,"Entire home/apt",183,1,2,100,"strict_14_with_grace_period","f",8,1,2,2,2,"Real Bed",TRUE
30.24219,-97.71075,"Private room",89,1,1,100,"flexible","f",1,0,1,1,1,"Real Bed",TRUE
30.29079,-97.7218,"Entire home/apt",100,1,1,96.176,"flexible","f",0,0,2,2,2,"Real Bed",FALSE
30.1768,-97.7536,"Entire home/apt",65,1,1,90,"flexible","f",2,1,1.5,2,2,"Real Bed",TRUE
30.35961,-97.71827,"Private room",35,1,1,95,"strict_14_with_grace_period","t",29,11,1,1,1,"Real Bed",TRUE
30.26581,-97.73948,"Entire home/apt",249,5,1,96,"strict_14_with_grace_period","f",69,19,1,2,3,"Real Bed",TRUE
30.17579,-97.69593,"Private room",85,2,1,98,"moderate","t",78,27,1.5,2,2,"Real Bed",TRUE
30.26776,-97.80022,"Entire home/apt",500,7,2,99,"strict_14_with_grace_period","t",67,18,3,4,4,"Real Bed",TRUE
30.17955,-97.81409,"Entire home/apt",135,1,1,96.176,"flexible","f",0,0,2,3,2,"Real Bed",FALSE
30.25904,-97.7182,"Entire home/apt",349,9,2,97,"strict_14_with_grace_period","t",121,33,2.5,4,4,"Real Bed",TRUE
30.27744,-97.762,"Entire home/apt",300,1,3,60,"flexible","f",1,0,1,2,3,"Real Bed",TRUE
30.28913,-97.74434,"Entire home/apt",90,1,3,100,"flexible","f",1,0,1,1,3,"Real Bed",TRUE
30.3212,-97.75398,"Entire home/apt",175,2,3,96.176,"flexible","f",0,0,2,3,2,"Real Bed",FALSE
30.447,-97.76093,"Private room",200,1,1,83,"strict_14_with_grace_period","f",14,0,1,1,1,"Real Bed",TRUE
30.33493,-97.71711,"Entire home/apt",45,1,3,95,"strict_14_with_grace_period","t",112,24,1,0,2,"Real Bed",TRUE
30.2237,-97.77106,"Private room",33,1,2,91,"moderate","f",49,16,1,1,1,"Real Bed",TRUE
30.24207,-97.76971,"Private room",99,2,2,96.176,"flexible","f",0,0,1,1,1,"Real Bed",FALSE
30.21946,-97.79162,"Private room",45,1,2,97,"flexible","f",66,3,1,1,1,"Real Bed",TRUE
30.21737,-98.01377,"Entire home/apt",365,14,2,94,"strict_14_with_grace_period","t",36,12,2,4,9,"Real Bed",TRUE
30.29809,-97.74253,"Private room",27,1,2,97,"moderate","f",8,0,1.5,1,1,"Real Bed",TRUE
30.36848,-97.97061,"Entire home/apt",164,4,1,98,"moderate","f",18,8,2,3,3,"Real Bed",TRUE
30.25133,-97.75305,"Private room",57,1,1,88,"strict_14_with_grace_period","f",70,27,1.5,1,1,"Real Bed",TRUE
30.27775,-97.75731,"Entire home/apt",125,1,2,93,"strict_14_with_grace_period","f",159,38,1,0,3,"Real Bed",TRUE
30.23903,-97.76303,"Entire home/apt",89,2,2,96,"strict_14_with_grace_period","f",51,16,1,0,1,"Real Bed",TRUE
30.2724,-97.7424,"Entire home/apt",500,3,1,97,"strict_14_with_grace_period","t",50,6,1.5,1,1,"Real Bed",TRUE
30.27802,-97.71916,"Entire home/apt",92,2,1,80,"flexible","f",10,0,1,1,1,"Real Bed",TRUE
30.28974,-97.7504,"Entire home/apt",300,1,3,100,"flexible","f",1,0,2,3,3,"Real Bed",TRUE
30.28683,-97.7215,"Private room",40,2,1,94,"moderate","f",28,0,1,1,1,"Real Bed",TRUE
30.2878,-97.74497,"Entire home/apt",40,1,1,76,"flexible","f",9,0,1,0,1,"Real Bed",TRUE
30.23135,-97.71908,"Private room",80,1,1,100,"flexible","f",1,0,1,1,1,"Real Bed",TRUE
30.22297,-97.78204,"Entire home/apt",75,1,1,96.176,"moderate","f",0,0,1,2,2,"Real Bed",FALSE
30.24004,-97.7187,"Entire home/apt",50,1,2,100,"moderate","f",6,0,1,1,2,"Pull-out Sofa",TRUE
30.24734,-97.7321,"Entire home/apt",400,1,3,90,"moderate","f",7,0,1,2,3,"Real Bed",TRUE
30.29985,-97.72821,"Entire home/apt",69,2,2,98,"moderate","t",95,16,1,0,2,"Real Bed",TRUE
30.48884,-97.78881,"Private room",29,1,1,96.176,"flexible","t",0,0,1,1,4,"Real Bed",FALSE
30.22017,-97.89542,"Entire home/apt",385,14,2,97,"strict_14_with_grace_period","t",30,12,3,4,11,"Real Bed",TRUE
30.3104,-97.74668,"Entire home/apt",95,2,2,96,"moderate","t",105,33,1,1,2,"Real Bed",TRUE
30.36293,-97.73609,"Entire home/apt",245,5,2,100,"strict_14_with_grace_period","f",28,6,3,4,5,"Real Bed",TRUE
30.27247,-97.7562,"Entire home/apt",295,2,2,100,"moderate","f",2,0,1,1,1,"Real Bed",TRUE
30.2722,-97.75758,"Entire home/apt",185,4,1,96,"strict_14_with_grace_period","f",58,3,1,2,3,"Real Bed",TRUE
30.25475,-97.74801,"Entire home/apt",400,1,1,100,"flexible","f",1,0,2,2,2,"Real Bed",TRUE
30.33871,-97.85704,"Entire home/apt",125,1,2,98,"flexible","f",111,1,1,0,1,"Real Bed",TRUE
30.24844,-97.73912,"Entire home/apt",475,1,3,99,"strict_14_with_grace_period","t",71,10,2.5,3,4,"Real Bed",TRUE
30.23333,-97.74992,"Entire home/apt",495,1,3,100,"moderate","f",2,0,3,3,3,"Real Bed",TRUE
30.22416,-97.77795,"Entire home/apt",90,1,1,100,"flexible","f",1,0,1,1,1,"Real Bed",TRUE
30.28061,-97.75261,"Entire home/apt",200,2,2,97,"moderate","f",25,0,1,1,1,"Real Bed",TRUE
30.20033,-97.81847,"Entire home/apt",160,1,1,98,"strict_14_with_grace_period","t",122,39,2,4,4,"Real Bed",TRUE
30.27649,-97.76142,"Entire home/apt",107,2,3,96,"strict_14_with_grace_period","t",44,19,1,1,3,"Real Bed",TRUE
30.29134,-97.74368,"Entire home/apt",84,1,1,96.176,"flexible","f",0,0,1,1,1,"Real Bed",FALSE
30.27436,-97.75679,"Entire home/apt",145,1,2,95,"strict_14_with_grace_period","t",17,10,1,1,2,"Real Bed",TRUE
30.27347,-97.75513,"Entire home/apt",115,1,1,98,"strict_14_with_grace_period","t",280,92,1,1,2,"Real Bed",TRUE
30.38323,-97.70729,"Private room",48,1,1,93,"flexible","f",6,0,1,1,1,"Real Bed",TRUE
30.33041,-97.7367,"Private room",45,2,1,100,"flexible","f",2,0,2,2,2,"Real Bed",TRUE
30.20897,-97.95142,"Entire home/apt",135,1,2,94,"strict_14_with_grace_period","f",30,5,1,1,2,"Real Bed",TRUE
30.22769,-97.76673,"Entire home/apt",75,5,2,96.176,"flexible","f",0,0,1,2,2,"Real Bed",FALSE
30.22617,-97.75506,"Entire home/apt",80,1,2,96,"moderate","f",11,0,1,1,1,"Real Bed",TRUE
30.2968,-97.71643,"Entire home/apt",400,1,1,100,"flexible","f",2,0,2,3,4,"Real Bed",TRUE
30.14351,-97.95741,"Entire home/apt",82,1,2,99,"moderate","t",119,41,1,1,1,"Real Bed",TRUE
30.28203,-97.71797,"Entire home/apt",267,1,5,95,"strict_14_with_grace_period","f",4,0,2,2,2,"Real Bed",TRUE
30.29185,-97.73448,"Entire home/apt",119,2,1,98,"moderate","t",23,16,1,1,2,"Real Bed",TRUE
30.25748,-97.71461,"Entire home/apt",84,1,3,93,"moderate","t",73,13,2,2,4,"Real Bed",TRUE
30.27303,-97.75343,"Private room",98,1,1,98,"strict_14_with_grace_period","f",26,0,1,1,1,"Real Bed",TRUE
30.29622,-97.74554,"Entire home/apt",70,2,1,92,"moderate","f",111,72,1,1,2,"Real Bed",TRUE
30.2078,-97.76519,"Private room",70,2,2,99,"moderate","f",14,8,1,1,1,"Futon",TRUE
30.31199,-97.72514,"Entire home/apt",132,1,5,97,"strict_14_with_grace_period","t",39,11,1,2,2,"Real Bed",TRUE
30.21432,-97.80405,"Entire home/apt",500,4,1,96.176,"strict_14_with_grace_period","f",0,0,2,3,3,"Real Bed",FALSE
30.25152,-97.72278,"Entire home/apt",300,4,3,100,"moderate","t",5,2,1,2,2,"Real Bed",TRUE
30.23927,-97.74002,"Entire home/apt",305,1,1,96.176,"flexible","f",0,0,1,1,1,"Real Bed",FALSE
30.18722,-97.7979,"Private room",38,1,1,96.176,"moderate","f",0,0,1,1,1,"Real Bed",FALSE
30.18832,-97.79794,"Private room",38,1,1,96.176,"moderate","f",0,0,1,1,1,"Real Bed",FALSE
30.29286,-97.74438,"Entire home/apt",150,1,3,80,"strict_14_with_grace_period","f",2,0,1,1,1,"Real Bed",TRUE
30.21674,-97.77445,"Private room",30,1,3,91,"flexible","f",60,21,1,1,1,"Real Bed",TRUE
30.2079,-97.76549,"Entire home/apt",500,1,4,100,"strict_14_with_grace_period","f",6,3,2,4,4,"Real Bed",TRUE
30.30267,-97.72974,"Private room",70,1,7,96.176,"flexible","f",0,0,1,1,1,"Real Bed",FALSE
30.23306,-97.77922,"Entire home/apt",105,1,1,100,"strict_14_with_grace_period","f",13,13,1,1,1,"Real Bed",TRUE
30.24601,-97.73953,"Entire home/apt",133,2,1,97,"moderate","t",251,54,1,1,2,"Real Bed",TRUE
30.25472,-97.72031,"Entire home/apt",149,4,3,98,"moderate","t",127,30,1.5,2,2,"Real Bed",TRUE
30.25114,-97.77453,"Entire home/apt",75,1,4,98,"flexible","f",11,0,1,1,1,"Real Bed",TRUE
30.26256,-97.76485,"Entire home/apt",200,1,2,100,"moderate","f",15,3,1,1,1,"Real Bed",TRUE
30.26496,-97.71917,"Entire home/apt",342,3,6,98,"strict_14_with_grace_period","f",13,0,3.5,3,3,"Real Bed",TRUE
30.25985,-97.77217,"Private room",62,1,2,95,"flexible","f",11,0,0.5,1,1,"Futon",TRUE
30.24288,-97.89657,"Private room",65,2,1,97,"flexible","t",57,16,1,1,1,"Real Bed",TRUE
30.31248,-97.69409,"Entire home/apt",115,2,1,90,"moderate","f",2,0,1,1,1,"Real Bed",TRUE
30.2538,-97.7156,"Private room",100,1,1,96.176,"flexible","f",0,0,1,1,2,"Real Bed",FALSE
30.27633,-97.82023,"Private room",110,2,2,100,"flexible","f",1,1,1,1,2,"Real Bed",TRUE
30.17336,-97.8106,"Private room",46,1,2,99,"strict_14_with_grace_period","t",63,18,1,1,1,"Real Bed",TRUE
30.24896,-97.85787,"Private room",70,1,2,100,"flexible","f",11,10,1,1,1,"Real Bed",TRUE
30.23864,-97.73615,"Entire home/apt",99,1,2,97,"moderate","t",39,9,1,1,2,"Real Bed",TRUE
30.23582,-97.75773,"Entire home/apt",125,2,2,100,"moderate","t",44,7,1,1,1,"Real Bed",TRUE
30.22613,-97.75316,"Entire home/apt",95,1,1,80,"flexible","f",1,0,1,1,1,"Real Bed",TRUE
30.27596,-97.71802,"Entire home/apt",150,4,2,96,"moderate","f",5,0,1,2,2,"Real Bed",TRUE
30.17856,-97.80808,"Private room",50,1,1,100,"flexible","f",3,0,1,1,1,"Real Bed",TRUE
30.25282,-97.74762,"Entire home/apt",500,4,2,100,"moderate","f",4,0,2,2,2,"Real Bed",TRUE
30.25635,-97.75481,"Entire home/apt",95,2,2,99,"strict_14_with_grace_period","t",128,42,1,1,1,"Real Bed",TRUE
30.3381,-97.7575,"Private room",55,1,3,98,"flexible","t",50,18,1,1,1,"Real Bed",TRUE
30.30306,-97.71955,"Entire home/apt",248,4,3,100,"strict_14_with_grace_period","f",1,0,1.5,2,2,"Real Bed",TRUE
30.22303,-97.72084,"Private room",19,1,1,96.176,"flexible","f",0,0,1,1,1,"Real Bed",FALSE
30.28456,-97.74751,"Entire home/apt",250,1,4,80,"strict_14_with_grace_period","f",1,0,2,2,2,"Real Bed",TRUE
30.35707,-97.73785,"Entire home/apt",70,1,1,100,"flexible","f",2,0,1,1,1,"Real Bed",TRUE
30.25092,-97.75928,"Entire home/apt",90,1,2,98,"strict_14_with_grace_period","t",137,40,1,1,1,"Real Bed",TRUE
30.3359,-97.86715,"Entire home/apt",10,1,2,97,"moderate","t",23,18,1,0,1,"Pull-out Sofa",TRUE
30.22594,-97.92948,"Entire home/apt",90,2,2,99,"moderate","t",248,40,1,1,4,"Real Bed",TRUE
30.31785,-97.72635,"Entire home/apt",425,1,1,96.176,"strict_14_with_grace_period","t",0,0,2.5,2,2,"Real Bed",FALSE
30.26257,-97.76366,"Entire home/apt",500,1,3,96.176,"strict_14_with_grace_period","f",0,0,1,1,1,"Real Bed",FALSE
30.30622,-97.72441,"Entire home/apt",350,1,2,96.176,"moderate","f",0,0,1,2,2,"Real Bed",FALSE
30.35808,-97.68435,"Entire home/apt",143,6,2,98,"moderate","t",13,13,2,3,4,"Real Bed",TRUE
30.20051,-97.8315,"Private room",75,1,2,100,"moderate","f",3,0,1,1,1,"Real Bed",TRUE
30.21964,-97.7812,"Private room",55,1,1,93,"strict_14_with_grace_period","f",4,2,1,1,1,"Real Bed",TRUE
30.21803,-97.85231,"Entire home/apt",47,1,1,96.176,"moderate","f",0,0,1,1,1,"Airbed",FALSE
30.24961,-97.73802,"Entire home/apt",500,2,4,100,"strict_14_with_grace_period","f",1,0,1,2,3,"Real Bed",TRUE
30.23049,-97.73157,"Private room",28,2,1,90,"moderate","f",4,0,1,1,1,"Real Bed",TRUE
30.32316,-97.78887,"Entire home/apt",400,8,2,98,"strict_14_with_grace_period","f",39,5,4.5,6,7,"Real Bed",TRUE
30.27134,-97.71906,"Private room",65,1,1,97,"strict_14_with_grace_period","f",53,0,1.5,1,1,"Real Bed",TRUE
30.22409,-97.78602,"Private room",200,1,1,96.176,"flexible","f",0,0,1,1,1,"Real Bed",FALSE
30.2455,-97.74784,"Entire home/apt",250,1,2,100,"strict_14_with_grace_period","t",5,0,1,1,3,"Real Bed",TRUE
30.30511,-97.72662,"Entire home/apt",75,1,1,96.176,"flexible","f",0,0,1,0,1,"Real Bed",FALSE
30.24635,-97.74859,"Entire home/apt",400,7,2,100,"flexible","f",1,0,2,4,5,"Real Bed",TRUE
30.24095,-97.7754,"Private room",34,1,1,97,"strict_14_with_grace_period","t",142,52,0.5,1,1,"Real Bed",TRUE
30.24308,-97.75951,"Private room",65,2,1,99,"strict_14_with_grace_period","t",162,50,1,1,1,"Real Bed",TRUE
30.2347,-97.78709,"Entire home/apt",120,1,2,100,"flexible","f",1,0,1,1,2,"Real Bed",TRUE
30.30118,-97.70114,"Entire home/apt",295,6,2,100,"strict_14_with_grace_period","f",19,5,2.5,3,3,"Real Bed",TRUE
30.23205,-97.75074,"Private room",200,1,2,96.176,"strict_14_with_grace_period","f",0,0,1,1,1,"Real Bed",FALSE
30.24422,-97.76811,"Entire home/apt",385,1,3,100,"strict_14_with_grace_period","f",7,3,2,3,3,"Real Bed",TRUE
30.22875,-97.74058,"Entire home/apt",240,6,2,95,"strict_14_with_grace_period","f",22,7,2.5,4,4,"Real Bed",TRUE
30.32086,-97.67662,"Entire home/apt",275,1,2,99,"strict_14_with_grace_period","t",71,27,2,4,3,"Real Bed",TRUE
30.27376,-97.71948,"Private room",59,1,1,93,"flexible","f",329,84,1.5,1,1,"Real Bed",TRUE
30.2425,-97.75263,"Entire home/apt",275,2,3,100,"moderate","f",7,1,1,2,2,"Real Bed",TRUE
30.33905,-97.71931,"Entire home/apt",78,1,2,88,"moderate","f",8,0,1,1,1,"Real Bed",TRUE
30.29212,-97.71737,"Entire home/apt",385,1,6,96.176,"strict_14_with_grace_period","f",0,0,1,2,2,"Real Bed",FALSE
30.25133,-97.72327,"Entire home/apt",80,2,1,98,"moderate","t",157,29,1,1,3,"Real Bed",TRUE
30.2975,-97.6789,"Entire home/apt",65,1,1,97,"strict_14_with_grace_period","t",187,77,1,0,2,"Real Bed",TRUE
30.26087,-97.76483,"Entire home/apt",275,1,1,96.176,"flexible","f",0,0,1,0,1,"Real Bed",FALSE
30.23999,-97.74041,"Entire home/apt",209,4,2,100,"strict_14_with_grace_period","t",145,41,1,2,2,"Real Bed",TRUE
30.25762,-97.7211,"Entire home/apt",250,6,2,100,"moderate","t",27,26,2,3,3,"Real Bed",TRUE
30.1882,-97.89195,"Private room",115,1,1,96.176,"flexible","f",0,0,1,1,1,"Real Bed",FALSE
30.22579,-97.71671,"Private room",125,1,3,20,"strict_14_with_grace_period","f",1,0,1.5,1,1,"Real Bed",TRUE
30.24867,-97.78213,"Entire home/apt",450,4,3,97,"strict_14_with_grace_period","f",6,0,2,3,4,"Real Bed",TRUE
30.22756,-97.73679,"Entire home/apt",495,1,5,96.176,"strict_14_with_grace_period","f",0,0,2,3,3,"Real Bed",FALSE
30.26375,-97.7652,"Private room",89,1,3,91,"flexible","f",7,0,1,1,2,"Real Bed",TRUE
30.27995,-97.76568,"Private room",129,1,2,98,"strict_14_with_grace_period","t",12,2,1,1,1,"Real Bed",TRUE
30.27139,-97.72935,"Private room",125,2,3,100,"strict_14_with_grace_period","f",13,0,1,1,1,"Real Bed",TRUE
30.29969,-97.78064,"Entire home/apt",200,1,2,100,"flexible","f",1,0,1.5,2,2,"Real Bed",TRUE
30.25299,-97.74702,"Private room",89,1,2,100,"flexible","f",1,0,1,1,1,"Real Bed",TRUE
30.18919,-97.82303,"Entire home/apt",200,1,2,80,"flexible","f",1,1,2.5,3,3,"Real Bed",TRUE
30.27369,-97.70761,"Entire home/apt",78,1,2,99,"strict_14_with_grace_period","t",189,57,1,1,1,"Real Bed",TRUE
30.25827,-97.75969,"Entire home/apt",165,4,2,98,"strict_14_with_grace_period","f",8,2,1,2,2,"Real Bed",TRUE
30.3085,-97.73209,"Private room",500,1,1,100,"strict_14_with_grace_period","f",1,1,1,1,1,"Real Bed",TRUE
30.25902,-97.72217,"Entire home/apt",400,8,2,100,"moderate","t",101,44,2.5,3,5,"Real Bed",TRUE
30.21967,-97.77182,"Entire home/apt",250,1,2,98,"strict_14_with_grace_period","t",214,46,2.5,4,8,"Real Bed",TRUE
30.21559,-97.8062,"Entire home/apt",500,6,2,97,"moderate","t",30,9,2.5,4,6,"Real Bed",TRUE
30.26239,-97.72215,"Entire home/apt",450,3,2,100,"strict_14_with_grace_period","f",1,0,1,1,1,"Real Bed",TRUE
30.25038,-97.75199,"Entire home/apt",105,1,2,93,"moderate","f",60,12,1,1,2,"Real Bed",TRUE
30.38664,-97.95384,"Entire home/apt",350,1,3,100,"moderate","f",11,2,2,3,3,"Real Bed",TRUE
30.29709,-97.74719,"Entire home/apt",99,3,1,100,"moderate","f",2,0,1,1,1,"Real Bed",TRUE
30.31176,-97.7405,"Entire home/apt",345,1,1,96.176,"strict_14_with_grace_period","f",0,0,1,2,2,"Real Bed",FALSE
30.43917,-97.75215,"Entire home/apt",150,1,2,100,"strict_14_with_grace_period","t",2,0,0,0,1,"Airbed",TRUE
30.25516,-97.74645,"Shared room",160,1,1,100,"flexible","f",1,0,1,1,1,"Real Bed",TRUE
30.28664,-97.73398,"Private room",500,1,1,96.176,"flexible","f",0,0,1,1,1,"Real Bed",FALSE
30.29307,-97.70388,"Entire home/apt",295,6,2,99,"moderate","t",38,14,2,3,0,"Real Bed",TRUE
30.23928,-97.73464,"Entire home/apt",150,1,2,99,"moderate","t",56,53,1,2,2,"Real Bed",TRUE
30.25823,-97.71538,"Entire home/apt",449,3,1,96.176,"flexible","f",0,0,1,0,1,"Real Bed",FALSE
30.255,-97.74748,"Entire home/apt",350,1,1,100,"strict_14_with_grace_period","f",4,0,1,1,2,"Real Bed",TRUE
30.24247,-97.72534,"Entire home/apt",500,4,3,100,"strict_14_with_grace_period","f",1,0,1.5,2,2,"Real Bed",TRUE
30.24958,-97.77319,"Entire home/apt",110,4,1,98,"moderate","t",77,64,2,3,3,"Real Bed",TRUE
30.30172,-97.71022,"Private room",85,1,1,100,"flexible","t",35,15,1,1,1,"Real Bed",TRUE
30.24453,-97.73807,"Entire home/apt",199,1,2,100,"strict_14_with_grace_period","f",6,0,2,2,3,"Real Bed",TRUE
30.34556,-97.71659,"Entire home/apt",105,1,2,98,"moderate","f",12,5,1,0,1,"Real Bed",TRUE
30.28973,-97.70964,"Entire home/apt",250,1,1,96.176,"flexible","f",0,0,1,2,2,"Real Bed",FALSE
30.23391,-97.77953,"Entire home/apt",305,1,2,94,"strict_14_with_grace_period","f",21,8,2,3,4,"Real Bed",TRUE
30.27097,-97.72919,"Entire home/apt",450,2,2,100,"moderate","t",1,0,1.5,2,2,"Real Bed",TRUE
30.22519,-97.78663,"Private room",45,1,1,99,"moderate","t",189,58,1,1,1,"Real Bed",TRUE
30.25993,-97.75894,"Entire home/apt",211,3,1,98,"flexible","t",25,12,1,1,0,"Real Bed",TRUE
30.29265,-97.72375,"Entire home/apt",100,1,1,96.176,"flexible","f",0,0,2,1,1,"Real Bed",FALSE
30.28038,-97.71012,"Entire home/apt",125,2,2,100,"strict_14_with_grace_period","t",190,44,1,0,1,"Real Bed",TRUE
