"latitude","longitude","room_type","price","guests_included","minimum_nights","review_scores_rating","cancellation_policy","host_is_superhost","number_of_reviews","number_of_reviews_ltm","bathrooms","bedrooms","beds","bed_type","has_reviews"
30.26088,-97.77438,"Entire home/apt",89,1,2,95,"strict_14_with_grace_period","f",117,43,1,1,1,"Real Bed",TRUE
30.23916,-97.76487,"Entire home/apt",125,2,1,98,"moderate","t",401,20,1,1,1,"Futon",TRUE
30.32787,-97.75442,"Entire home/apt",500,1,2,100,"strict_14_with_grace_period","f",10,1,2.5,3,4,"Real Bed",TRUE
30.26071,-97.73258,"Entire home/apt",225,4,4,94,"strict_14_with_grace_period","t",34,1,1,2,3,"Real Bed",TRUE
30.28408,-97.76828,"Entire home/apt",500,1,4,96.176,"strict_14_with_grace_period","f",0,0,2,3,3,"Real Bed",FALSE
30.32373,-97.71629,"Private room",47,2,2,99,"moderate","t",169,19,1,1,1,"Real Bed",TRUE
30.29269,-97.74345,"Entire home/apt",45,5,2,93,"moderate","f",16,0,1,1,1,"Real Bed",TRUE
30.24666,-97.7476,"Entire home/apt",112,2,2,96,"moderate","t",69,17,1,2,3,"Real Bed",TRUE
30.25456,-97.77551,"Entire home/apt",85,2,2,98,"moderate","t",142,30,1,1,1,"Real Bed",TRUE
30.30326,-97.73057,"Entire home/apt",119,4,5,99,"super_strict_30","t",61,14,1,1,1,"Real Bed",TRUE
30.27509,-97.74851,"Entire home/apt",260,1,1,100,"flexible","f",2,1,1,3,3,"Real Bed",TRUE
30.24395,-98.00244,"Entire home/apt",295,6,3,94,"strict_14_with_grace_period","f",174,68,2,3,5,"Real Bed",TRUE
30.30226,-97.73143,"Entire home/apt",136,4,5,97,"super_strict_30","t",51,11,1,2,3,"Real Bed",TRUE
30.30242,-97.72954,"Entire home/apt",119,2,5,98,"super_strict_30","t",45,11,1,1,2,"Real Bed",TRUE
30.16127,-97.7843,"Entire home/apt",199,6,2,99,"moderate","f",33,11,2.5,4,6,"Real Bed",TRUE
30.25582,-97.72709,"Entire home/apt",107,2,1,97,"flexible","t",404,77,1,0,1,"Real Bed",TRUE
30.30219,-97.74143,"Entire home/apt",129,1,3,98,"moderate","t",179,42,1,1,1,"Real Bed",TRUE
30.2515,-97.78206,"Entire home/apt",373,1,3,100,"strict_14_with_grace_period","f",13,1,2,4,4,"Real Bed",TRUE
30.24154,-97.76121,"Entire home/apt",69,1,2,95,"strict_14_with_grace_period","t",345,46,1,1,1,"Real Bed",TRUE
30.19318,-97.82095,"Entire home/apt",129,4,3,93,"strict_14_with_grace_period","f",10,10,2,3,3,"Real Bed",TRUE
30.33107,-97.7142,"Entire home/apt",350,8,2,98,"moderate","t",276,41,2,4,6,"Real Bed",TRUE
30.27869,-97.75311,"Entire home/apt",205,2,2,97,"moderate","t",36,13,1,1,2,"Real Bed",TRUE
30.25784,-97.76114,"Entire home/apt",270,4,3,97,"moderate","t",205,48,2,2,4,"Real Bed",TRUE
30.24776,-97.74527,"Entire home/apt",85,2,1,97,"strict_14_with_grace_period","t",663,95,1,1,1,"Real Bed",TRUE
30.27571,-97.75819,"Private room",300,1,2,100,"moderate","f",10,8,1,1,1,"Real Bed",TRUE
30.24594,-97.7313,"Entire home/apt",124,3,2,98,"strict_14_with_grace_period","t",113,30,1,2,3,"Real Bed",TRUE
30.2635,-97.70097,"Entire home/apt",184,3,2,99,"moderate","t",66,27,1,3,6,"Real Bed",TRUE
30.25341,-97.77369,"Entire home/apt",99,2,2,98,"strict_14_with_grace_period","t",470,428,1,1,1,"Real Bed",TRUE
30.28913,-97.71844,"Entire home/apt",79,1,2,99,"strict_14_with_grace_period","t",117,21,1,1,1,"Real Bed",TRUE
30.24503,-97.74531,"Entire home/apt",250,1,2,98,"strict_14_with_grace_period","f",10,10,1,0,1,"Real Bed",TRUE
30.30788,-97.72679,"Entire home/apt",94,2,3,99,"moderate","f",102,0,1,0,1,"Real Bed",TRUE
30.24846,-97.75077,"Entire home/apt",295,4,2,99,"strict_14_with_grace_period","t",143,20,2.5,2,2,"Real Bed",TRUE
30.45831,-97.68722,"Entire home/apt",350,2,4,96.176,"strict_14_with_grace_period","f",0,0,2.5,3,3,"Real Bed",FALSE
30.30271,-97.73123,"Entire home/apt",159,4,5,99,"super_strict_30","t",62,18,1,2,2,"Real Bed",TRUE
30.17278,-97.973,"Private room",55,2,1,97,"strict_14_with_grace_period","t",35,3,1,1,1,"Real Bed",TRUE
30.25409,-97.72566,"Entire home/apt",450,6,1,95,"strict_14_with_grace_period","f",34,15,2,3,4,"Real Bed",TRUE
30.25368,-97.7567,"Entire home/apt",150,4,2,100,"strict_14_with_grace_period","t",70,20,1,2,1,"Real Bed",TRUE
30.25426,-97.72431,"Entire home/apt",81,1,1,90,"strict_14_with_grace_period","f",312,116,1,1,1,"Futon",TRUE
30.27917,-97.71564,"Entire home/apt",90,2,1,98,"strict_14_with_grace_period","t",560,90,1,1,2,"Real Bed",TRUE
30.25434,-97.72825,"Entire home/apt",500,1,2,96,"moderate","t",17,2,1,2,2,"Real Bed",TRUE
30.24481,-97.75253,"Private room",110,2,1,94,"strict_14_with_grace_period","f",84,5,1,1,1,"Real Bed",TRUE
